batch_size,d_model,num_heads,num_layers,clustering_method,clustering_metric,clustering_param,compression_ratio,ml_time,compression_time,Total_MRT_time,Total_OSTC_time,querying_time,total_time,accuracy_individual_results,score
128,64,4,2,AGGLOMERATIVE,euclidean,15,1.314671975007214,194278752371,54680185101,41492.0,1560.5689697265625,1367237953871,1730670008286,"[('Where', 0.9943607604407082), ('Distance', 0.8660759805660383), ('When', 0.9999598991072041), ('How Long', 0.9999935140910584), ('Count', 0.9999473812130645), ('KNN', 0.9999611273080661), ('Window', 0.999559442824749)]",0.9799797293644127
128,64,4,4,AGGLOMERATIVE,euclidean,5,1.324128785617433,211096185908,50171040860,39582.0,951.8699951171875,1159995320477,1519671310177,"[('Where', 0.9837937054413821), ('Distance', 0.8658952041899638), ('When', 0.995590810937506), ('How Long', 0.9999157697395419), ('Count', 0.8502759911817918), ('KNN', 0.9978231292517007), ('Window', 0.9910592808551992)]",0.9549076987995837
128,64,4,4,AGGLOMERATIVE,euclidean,7.5,1.3068174882258492,211894924928,68483075009,55725.0,1158.9720458984375,1303549741991,1686885950187,"[('Where', 0.9973209588936368), ('Distance', 0.8665414890055207), ('When', 0.9989599056931947), ('How Long', 0.9999870353091748), ('Count', 0.969577814687104), ('KNN', 0.999598315516683), ('Window', 0.9987625526401037)]",0.9758211531064882
128,64,4,4,AGGLOMERATIVE,euclidean,10,1.312217958410357,226265520571,55672159062,41407.0,1559.2080078125,1325764165145,1710566433515,"[('Where', 0.9992366687647062), ('Distance', 0.8660243365533015), ('When', 0.9998367940675387), ('How Long', 0.9999805566474381), ('Count', 0.9997176644110097), ('KNN', 1.0), ('Window', 0.999572400388727)]",0.9806240601189602
128,64,4,4,AGGLOMERATIVE,euclidean,12.5,1.3140353509875415,227694970322,55043021468,41840.0,1207.18505859375,1310121916848,1702402157000,"[('Where', 0.9988260691087357), ('Distance', 0.8617438872661738), ('When', 0.9994149587808782), ('How Long', 0.9999870353090695), ('Count', 0.9967203988943562), ('KNN', 0.999974084872044), ('Window', 0.9993909944930354)]",0.9794367755320419
128,64,4,4,AGGLOMERATIVE,euclidean,15,1.3115498059600024,227415973536,54475185205,41480.0,1247.5369873046875,1333738167759,1723631327551,"[('Where', 0.9993723540223554), ('Distance', 0.8644001052692379), ('When', 0.9994949437024493), ('How Long', 0.9999935140910584), ('Count', 0.9999473812130645), ('KNN', 0.9999352121801102), ('Window', 0.9999352121801102)]",0.9804398175226267
128,128,2,2,AGGLOMERATIVE,euclidean,5,1.355959277583452,268360073576,42147434613,32525.0,735.3610229492188,888457938432,1268012198650,"[('Where', 0.9625974971571505), ('Distance', 0.8662490250390196), ('When', 0.9888977859706084), ('How Long', 0.9998121101926237), ('Count', 0.701077195336801), ('KNN', 0.9938581146744412), ('Window', 0.9780563654033042)]",0.9272211562534213
128,128,2,2,AGGLOMERATIVE,euclidean,7.5,1.3218907684934014,206417464637,49400759018,38657.0,1104.5980224609375,1159850907247,1512437149924,"[('Where', 0.9869873907561085), ('Distance', 0.8657167983730526), ('When', 0.9959720279125238), ('How Long', 0.9999028127488271), ('Count', 0.8871056480971813), ('KNN', 0.9976805960479429), ('Window', 0.9921606737933268)]",0.9607894211041376
128,128,2,2,AGGLOMERATIVE,euclidean,10,1.3091171368710346,222255376191,53066168871,40054.0,1412.81201171875,1316749845829,1704069657266,"[('Where', 0.9947019651259184), ('Distance', 0.865853746371863), ('When', 0.9985405717327013), ('How Long', 0.9999805567650157), ('Count', 0.9775174888328164), ('KNN', 0.9993262066731455), ('Window', 0.9973436993845157)]",0.9761806049837107
128,128,2,2,AGGLOMERATIVE,euclidean,12.5,1.3072233454867062,195626954978,69004717131,56539.0,1087.7979736328125,1329184024499,1696745775754,"[('Where', 0.9980955056149801), ('Distance', 0.8663704394459775), ('When', 0.9994502319781309), ('How Long', 0.9999870353090695), ('Count', 0.9968201345471187), ('KNN', 0.9998574667962423), ('Window', 0.9993197278911565)]",0.9799857916546679
128,128,2,2,AGGLOMERATIVE,euclidean,15,1.3089020249318608,192158711661,76855719025,64747.0,1115.1510009765625,1352464752635,1732856844987,"[('Where', 0.9989434925702807), ('Distance', 0.8664807733149792), ('When', 0.9993610453992532), ('How Long', 0.9999935140910584), ('Count', 0.9993815374000748), ('KNN', 0.999987042436022), ('Window', 0.9996501457725948)]",0.9805425072834663
128,128,2,4,AGGLOMERATIVE,euclidean,5,1.3563813367071735,235449098411,41000691715,30793.0,1117.218017578125,901002120247,1252950277167,"[('Where', 0.9649207206652725), ('Distance', 0.8660082685685241), ('When', 0.9895289366411874), ('How Long', 0.999883377024869), ('Count', 0.6854605400883702), ('KNN', 0.993974732750243), ('Window', 0.9786718496922578)]",0.9254926322043893
128,128,2,4,AGGLOMERATIVE,euclidean,7.5,1.3181040148862129,237331055947,49832841205,37657.0,1394.10302734375,1215515091203,1602717107615,"[('Where', 0.9890619570640421), ('Distance', 0.8648336974608614), ('When', 0.9965725568643637), ('How Long', 0.9999287270948967), ('Count', 0.9258860736149954), ('KNN', 0.9989633948817622), ('Window', 0.993495302883058)]",0.9669631014091399
128,128,2,4,AGGLOMERATIVE,euclidean,10,1.3082612717522488,209409783202,53121980699,40439.0,1296.0970458984375,1328786858331,1700008286783,"[('Where', 0.997071408365257), ('Distance', 0.8657721945904622), ('When', 0.9991034404310253), ('How Long', 0.9999805565717621), ('Count', 0.9770694859174174), ('KNN', 0.9997019760285066), ('Window', 0.9982896015549076)]",0.976712666208477
